G,G&GD&LD,G&GD
37.318416595458984,37.98745346069336,38.46794509887695
33.18844223022461,30.081880569458008,34.164310455322266
28.566476821899414,26.889806747436523,29.861032485961914
27.197107315063477,25.29717445373535,26.883596420288086
28.441484451293945,27.305856704711914,25.142305374145508
25.077402114868164,23.3958740234375,23.488922119140625
24.629901885986328,22.793373107910156,23.11859703063965
25.145709991455078,21.306976318359375,24.16111183166504
22.680421829223633,21.017881393432617,22.06696891784668
28.44881820678711,22.505868911743164,22.85723304748535
,25.39895248413086,24.356964111328125
,25.389141082763672,24.346412658691406
,24.426700592041016,25.246171951293945
,24.4217529296875,25.238950729370117
,23.282922744750977,22.937705993652344
,23.28375816345215,22.934650421142578
,25.62976837158203,23.345596313476562
,25.656585693359375,23.34779930114746
,24.488067626953125,22.62112808227539
,24.491485595703125,22.62558937072754
,24.670818328857422,22.648963928222656
,24.679222106933594,22.650575637817383
,27.43207359313965,22.079225540161133
,27.44865608215332,22.080867767333984
,26.62240219116211,21.639596939086914
,26.623483657836914,21.632646560668945
,29.68310546875,22.3424015045166
,29.696720123291016,22.340829849243164
,27.2645320892334,22.619203567504883
,27.266746520996094,22.63320541381836
