Adam,AdamW,SGD
33.94525909423828,31.766624450683594,58.58993148803711
26.19032859802246,30.499950408935547,41.525333404541016
24.611242294311523,26.944320678710938,40.73635482788086
22.255657196044922,22.6483211517334,35.41758346557617
22.051422119140625,22.007802963256836,36.76896286010742
20.7332820892334,21.569883346557617,41.849185943603516
20.280858993530273,22.329957962036133,33.88190460205078
21.44269371032715,20.081859588623047,33.67317199707031
20.374269485473633,19.91452407836914,32.7472038269043
20.574350357055664,19.967426300048828,32.69744873046875
20.52296257019043,19.730693817138672,42.29804229736328
21.022727966308594,19.53067970275879,33.100460052490234
19.718839645385742,21.51620101928711,31.349334716796875
27.683937072753906,19.820682525634766,34.840675354003906
20.066795349121094,20.050071716308594,31.031923294067383
19.789451599121094,19.851367950439453,32.00502395629883
20.038286209106445,19.517101287841797,30.69024085998535
19.92411994934082,20.00345230102539,30.85239028930664
19.91839027404785,20.554006576538086,30.303701400756836
20.326417922973633,20.376056671142578,30.17072105407715
